"Marca temporal","¿Desea participar de la investigación?","Edad","Género","Provincia de Residencia","Años de Experiencia en la Clínica ","Nivel de Educación MÁXIMO Adquirido","En caso de haber respondido Terciario u otro, ¿cuál fue su título?","¿Usted ha tenido formación universitaria pública o privada?","¿Cuál es tu título?","En caso de haber respondido ""no tengo título universitario"", ¿cuál fue su título máximo adquirido?","Número de Horas por Semana Atendiendo Pacientes (Aproximado)","Contexto de Trabajo","Orientación Teórica","Indique qué disciplina realiza:","Indique qué marco teórico del psicoanálisis sigue usted:","Indique qué marco teórico utiliza usted en la clínica:","Indique qué marco teórico utiliza en la práctica:","Indique qué tipo marco teórico utiliza en la práctica:","Evidencia Científica","Experiencia Personal con Consultantes (es decir la propia experiencia ejerciendo)","Entrenamiento Práctico en Clínica","El tratamiento de Preferencia de los Consultantes ","Intuición","Terapia Personal","Experiencia Personal con Consultantes","Investigación Empírica con Ensayos Controlados ","Supervisión","Investigación Empírica de Estudios de Caso ","Discusión con Pares","Libros","Observaciones de Casos Clínicos (por ejemplo en ateneos, prácticas, etc)","Medidas de resultado (resultados de escalas, cuestionarios, etc)","Guías o manuales clínicos","Estoy dispuesto a utilizar nuevos y diferentes tipos de terapia desarrollados por investigadores","Es mi deber profesional estar al día con los nuevos desarrollos en la investigación clínica (entendiendo a la investigación como un proceso que sigue el método científico)","Mi formación clínica hizo énfasis en la investigación (entendiendo a la investigación como un proceso que sigue el método científico)","Mis supervisores requieren/han requerido que use tratamientos basados ​​en la evidencia (es decir, con apoyo del método científico)","Los tratamientos basados ​​en el método científico son eficientes/costo-efectivos ","Puedo atraer nuevos consultantes aprendiendo un tratamiento basado en evidencia (como resultado del método científico)","Es importante incorporar los hallazgos científicos en mi práctica diaria","Intentaría una nueva terapia incluso si fuera muy diferente de lo que estoy acostumbrado a hacer (es decir muy diferente a lo que ejerzo)","Estoy interesado en aprender tratamientos basados ​​en evidencia (como resultado del método científico)","Los tratamientos que uso con mis consultantes tienen una base empírica (es decir cuentan con apoyo del método científico)","Mis consultantes son más complejos y diversos que los de los ensayos clínicos (provenientes de la investigación científica, ejemplo ensayos aleatorizados y controlados)","Mis consultantes prefieren otros tratamientos que los tratamientos basados ​​en evidencia (como resultado del método científico)","La terapia no puede ser manualizada","Los diagnósticos utilizados en los ensayos clínicos son demasiado simples (ejemplo ensayos aleatorizados y controlados)","Los tratamientos que prefiero no se han probado en un ensayo controlado aleatorio","Tengo un enfoque de tratamiento individual para cada consultante","No tengo tiempo para aprender tratamientos basados ​​en evidencia (como resultado del método científico)","La capacitación en tratamientos basados ​​en evidencia me costaría demasiado dinero (evidencia como resultado del método científico)","No sé cuáles tratamientos están basados ​​en evidencia (como resultado del método científico)","Mi entrenamiento clínico no proporcionó información suficiente sobre tratamientos basados ​​en evidencia (como resultado del método científico)","La alianza terapéutica es más importante que aprender cómo hacer una forma específica de psicoterapia","La mayoría de las terapias son igualmente efectivas","Mi empleador no tiene los fondos para pagarme una capacitación en tratamientos basados ​​en evidencia (como resultado del método científico)","La experiencia clínica es más importante como guía para el tratamiento que la evidencia científica","Considero fundamental el uso del consentimiento informado y lo uso siempre al tomar pacientes nuevos

0 = No sabe/No contesta, 1 = Muy en desacuerdo , 4 = Ni de acuerdo ni en desacuerdo , 7 = Muy de acuerdo","¿Le gustaría agregar otro comentario?","","","","","","","","","","","","",""
"2023/04/13 10:58:43 a. m. GMT-3","Sí","36","Femenino","Provincia de Buenos Aires","3.7","Licenciatura de Grado","","Pública","Lic. en Psicología","","30","Ámbito Público (hospital u otro);Ámbito Privado","Psicoanálisis","","Lacaniano;Freudiano","","","","5","7","7","5","2","7","7","0","7","4","7","7","7","0","0","4","7","2","1","0","0","0","1","1","4","7","6","6","6","6","1","1","1","1","7","6","6","0","6","7","","","","","","","","","","","","","",""
"2023/04/13 1:56:35 p. m. GMT-3","Sí","60","Femenino","Córdoba","33","Carrera de Especialización","Especialista en psicología clínica ","Pública","Lic. en Psicología","","40","Ámbito Privado","Psicocorporal","","","","","","1","1","7","7","7","7","7","7","7","4","4","7","4","4","4","4","4","4","4","4","4","4","4","4","4","7","7","1","7","7","7","1","1","1","4","7","7","0","4","4","","","","","","","","","","","","","",""
"2023/04/13 5:31:39 p. m. GMT-3","Sí","70","Femenino","Ciudad Autónoma de Buenos Aires (CABA)","48 ","Carrera de Especialización","Especialista en Evaluaciones Psicologicas ","Pública","Lic. en Psicología","","25","Ámbito Privado;","Psicodinámica","","","","","","7","7","7","7","6","6","7","4","7","4","4","4","4","4","4","4","8","8","8","4","8","7","4","4","7","4","4","0","0","1","4","1","0","0","0","7","1","1","4","7","","","","","","","","","","","","","",""
"2023/04/13 6:12:23 p. m. GMT-3","Sí","53","Femenino","Ciudad Autónoma de Buenos Aires (CABA)","5","Licenciatura de Grado","","Privada","Lic. en Psicología","","30","Ámbito Privado","Psicoanálisis","","Lacaniano;Freudiano","","","","7","7","7","7","7","7","4","4","7","7","7","7","7","2","2","4","7","7","5","7","8","7","2","4","7","7","7","4","1","1","1","4","0","0","1","7","1","0","7","7","","","","","","","","","","","","","",""
"2023/04/13 6:21:08 p. m. GMT-3","Sí","37","Femenino","Provincia de Buenos Aires","2 ","Varios posgrados con orientación psicoanalitica","Clínica de niños/as adolescentes y adultos ","Privada","Lic. en Psicología","","30","Ámbito Privado","Psicoanálisis","","Lacaniano;Freudiano;Psicología Analítica (junguiana)","","","","6","7","7","6","7","7","7","1","7","4","7","7","7","1","1","4","7","7","1","0","1","7","7","7","7","1","1","0","0","0","4","1","1","0","0","1","1","0","6","7","Preguntas bastantes complejas, cuesta entenderlas. Los valores al estar uno al lado del otro prestan confusión","","","","","","","","","","","","",""
"2023/04/13 8:35:10 p. m. GMT-3","Sí","60","Femenino","Ciudad Autónoma de Buenos Aires (CABA)","24","Licenciatura de Grado","","Pública","Lic. en Psicología","","20 ","Ámbito Privado","Psicoanálisis","","Lacaniano","","","","4","7","7","5","1","7","7","1","7","5","7","7","5","1","1","4","8","8","8","8","1","8","1","1","8","7","7","7","7","7","4","8","8","8","8","4","1","0","7","7","","","","","","","","","","","","","",""
"2023/04/13 10:59:07 p. m. GMT-3","Sí","47","Femenino","Provincia de Buenos Aires","2","Licenciatura de Grado","","Privada","Lic. en Psicología","","30","Ámbito Público (hospital u otro);Ámbito Privado","Sistémica","","","","","","5","5","5","5","1","1","6","4","6","4","4","6","7","1","4","7","8","4","7","5","7","7","3","4","7","5","5","6","2","0","5","5","5","1","3","7","7","7","3","7","","","","","","","","","","","","","",""
"2023/04/13 11:35:42 p. m. GMT-3","Sí","66","Masculino","Ciudad Autónoma de Buenos Aires (CABA)","42","Doctorado","Doctor en Psicología Clínica","Pública","Doctor en Psicología Clínica","","30","Ámbito Privado","Humanista","","","","Terapia Centrada en el Cliente","","5","6","7","6","6","6","6","0","7","5","7","5","4","4","4","4","5","8","6","4","5","4","2","4","4","5","4","4","5","2","2","4","4","4","4","7","1","0","7","7","","","","","","","","","","","","","",""
"2023/04/14 8:12:51 a. m. GMT-3","Sí","32","Femenino","Mendoza","6","Carrera de Especialización","","Privada","Lic. en Psicología","","35","Ámbito Privado","Sistémica","","","","","","6","6","5","4","6","4","6","3","6","4","6","6","6","4","4","7","7","6","7","6","2","4","4","8","7","3","7","6","4","1","7","7","7","4","5","7","6","7","6","4","","","","","","","","","","","","","",""
"2023/04/14 9:05:10 a. m. GMT-3","Sí","48","Femenino","Provincia de Buenos Aires","20.6","Carrera de Especialización","Especializacion tcc","Pública","Lic. en Psicología","","20","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia Cognitiva","","","7","0","7","7","7","7","7","7","7","7","7","7","4","7","7","4","4","6","7","7","7","7","0","7","7","4","1","1","4","0","7","1","1","1","1","4","1","0","1","7","","","","","","","","","","","","","",""
"2023/04/14 11:22:42 a. m. GMT-3","Sí","55","Femenino","Ciudad Autónoma de Buenos Aires (CABA);Provincia de Buenos Aires","30 ","Licenciatura de Grado","Lic en psicologia","Pública","Lic. en Psicología","","10 ","Ámbito Público (hospital u otro);Ámbito Privado","Psicoanálisis","","Lacaniano;Freudiano","","","","4","6","7","0","5","7","3","1","7","6","7","7","7","2","2","5","7","4","4","1","1","6","6","6","7","0","0","1","0","6","7","1","0","7","7","4","1","0","4","7","","","","","","","","","","","","","",""
"2023/04/15 8:01:42 a. m. GMT-3","Sí","33","Femenino","Provincia de Buenos Aires","1","Licenciatura de Grado","","Pública","Lic. en Psicología","","50","Ámbito Público (hospital u otro);Ámbito Privado","Psicoanálisis","","Freudiano","","","","3","5","6","6","2","7","1","7","7","6","7","7","5","3","6","7","7","6","0","4","7","7","7","7","5","6","0","4","1","1","7","1","4","1","4","1","1","7","1","7","","","","","","","","","","","","","",""
"2023/04/15 8:27:52 a. m. GMT-3","Sí","27","Femenino","Provincia de Buenos Aires","1","Licenciatura de Grado","","Privada","Lic. en Psicología","","15","Ámbito Privado","Psicoanálisis","","Lacaniano;Freudiano;Posfreudiano","","","","5","6","7","5","0","7","3","1","7","7","7","7","7","4","3","5","8","8","8","8","8","8","7","8","8","8","8","4","4","0","5","8","8","8","8","4","4","0","4","4","","","","","","","","","","","","","",""
"2023/04/15 9:34:44 a. m. GMT-3","Sí","34","Femenino","Ciudad Autónoma de Buenos Aires (CABA)","0.6","Licenciatura de Grado","","Privada","Lic. en Psicología","","2","Ámbito Privado","Psicoanálisis","","Freudiano","","","","4","5","5","5","0","5","6","6","6","6","6","6","4","6","6","7","7","4","7","7","7","7","7","7","7","0","0","4","4","0","7","4","7","4","7","4","7","7","0","4","","","","","","","","","","","","","",""
"2023/04/15 10:19:31 a. m. GMT-3","Sí","27","Femenino","Santa Fe","2","Máster","","","Médico o Lic. en Ciencias Médicas","","56","Ámbito Privado;Obra Social o Prepaga","Terapias Cognitivas/Comportamentales","","","Terapia Cognitiva;Terapia de Conducta;Terapia de Aceptación y Compromiso;Terapia basada en Mindfulness","","","5","5","6","5","7","4","4","4","3","5","5","5","5","5","6","6","8","4","7","6","6","6","6","7","7","5","5","3","4","4","6","2","2","4","6","6","4","6","4","6","","","","","","","","","","","","","",""
"2023/04/15 10:26:48 a. m. GMT-3","Sí","35","Femenino","Ciudad Autónoma de Buenos Aires (CABA)","1.6","Licenciatura de Grado","","Pública","Lic. en Psicología","","10","Ámbito Público (hospital u otro);Ámbito Privado","Psicoanálisis","","Lacaniano;Freudiano","","","","3","5","0","6","7","7","6","1","7","6","6","7","6","1","1","5","8","8","8","8","8","6","5","1","8","7","7","5","7","0","6","8","8","8","8","5","6","8","6","7","","","","","","","","","","","","","",""
"2023/04/15 10:27:41 a. m. GMT-3","Sí","29","Femenino","Santa Fe","3","Carrera de Especialización","Cursando maestría en psa","Privada","Lic. en Psicología","","40","Ámbito Privado;Obra Social o Prepaga","Psicoanálisis","","Lacaniano;Freudiano","","","","1","7","7","2","4","7","5","1","5","1","6","6","6","1","3","5","8","7","1","1","1","4","5","4","8","7","7","7","6","0","6","8","1","6","2","3","2","8","5","4","","","","","","","","","","","","","",""
"2023/04/15 12:52:30 p. m. GMT-3","Sí","26","Femenino","Ciudad Autónoma de Buenos Aires (CABA)","2","Doctorado","","Privada","Lic. en Psicología","","20","Ámbito Privado","Ecléctico (más de una de estas opciones)","","","","","Terapias Cognitivas/Comportamentales;Psicoanálisis","5","6","6","1","1","2","2","2","5","4","4","5","4","4","3","5","6","6","5","3","4","4","4","2","3","7","0","0","6","0","7","1","0","0","4","4","1","0","4","4","","","","","","","","","","","","","",""
"2023/04/15 1:25:15 p. m. GMT-3","Sí","30","Femenino","Ciudad Autónoma de Buenos Aires (CABA)","2.10","Carrera de Especialización","","Privada","Lic. en Psicología","","10","Ámbito Privado","Sistémica","","","","","","6","6","7","1","1","5","4","7","7","7","2","7","6","4","6","7","7","4","4","4","4","7","2","7","7","4","1","3","0","0","1","1","6","1","1","6","1","4","2","7","","","","","","","","","","","","","",""
"2023/04/15 2:36:56 p. m. GMT-3","Sí","25","Femenino","Provincia de Buenos Aires","1.6","Carrera de Especialización","","Privada","Lic. en Psicología","","16","Ámbito Privado","Sistémica","","","","","","4","1","4","4","4","1","7","3","4","4","7","6","7","3","4","5","7","4","5","6","4","7","0","5","6","4","4","3","0","2","1","1","1","1","1","4","4","4","5","7","","","","","","","","","","","","","",""
"2023/04/15 2:37:49 p. m. GMT-3","Sí","28","Femenino","Ciudad Autónoma de Buenos Aires (CABA)","0.9","Licenciatura de Grado","","Pública","Lic. en Psicología","","6","Ámbito Privado","Sistémica","","","","","","6","7","7","1","1","7","7","5","7","5","6","7","7","5","7","7","7","5","7","7","4","7","4","7","7","4","4","4","4","4","1","1","4","1","1","1","1","4","1","7","","","","","","","","","","","","","",""
"2023/04/15 3:11:50 p. m. GMT-3","Sí","25","Femenino","Provincia de Buenos Aires","2.8","Carrera de Especialización","","Privada","Lic. en Psicología","","20","Ámbito Privado;Fundación sin fines de lucro ","Terapias Cognitivas/Comportamentales","","","Terapia Cognitiva","","","7","1","0","1","2","1","6","1","4","1","6","4","3","4","6","7","7","5","1","7","2","7","3","7","6","4","0","3","3","1","2","5","5","1","4","1","1","7","3","7","","","","","","","","","","","","","",""
"2023/04/15 4:16:35 p. m. GMT-3","Sí","39","Femenino","Provincia de Buenos Aires","5","Licenciatura de Grado","","Pública","Lic. en Psicología","","8","Ámbito Privado","Psicoanálisis","","Psicodinámica","","","","4","5","4","4","3","7","4","0","7","0","6","7","5","0","2","4","4","4","1","4","5","6","6","6","5","4","4","3","5","4","5","1","5","5","6","5","5","0","4","7","","","","","","","","","","","","","",""
"2023/04/15 5:04:50 p. m. GMT-3","Sí","33","Femenino","Provincia de Buenos Aires","0.10","Licenciatura de Grado","","Pública","Lic. en Psicología","","7","Ámbito Privado","Psicoanálisis","","Freudiano","","","","4","5","7","1","1","2","7","0","5","4","7","4","2","0","2","5","8","4","1","8","1","1","5","5","8","5","7","7","5","2","7","8","0","8","8","7","6","0","7","7","","","","","","","","","","","","","",""
"2023/04/15 8:59:35 p. m. GMT-3","Sí","27","Masculino","Provincia de Buenos Aires","1","Doctorado","","Privada","Lic. en Psicología","","8","Ámbito Público (hospital u otro)","Terapias Cognitivas/Comportamentales","","","Terapia Cognitiva;Terapia de Conducta","","","7","5","5","5","1","1","7","5","2","1","6","6","1","4","4","7","7","7","0","7","7","7","4","7","6","6","2","4","5","1","4","1","4","1","1","5","4","0","4","6","","","","","","","","","","","","","",""
"2023/04/15 9:14:23 p. m. GMT-3","Sí","25","Masculino","Corrientes","1","Licenciatura de Grado","","Privada","Lic. en Psicología","","40","Ámbito Privado","Psicoanálisis","","Lacaniano","","","","0","0","0","0","0","6","6","0","6","0","7","7","7","0","0","3","8","8","0","1","1","8","2","8","8","7","0","7","5","7","7","8","8","8","7","1","1","8","1","7","","","","","","","","","","","","","",""
"2023/04/15 11:39:46 p. m. GMT-3","Sí","28","Femenino","Provincia de Buenos Aires","1.8","Licenciatura de Grado","","Pública","Lic. en Psicología","","40","Ámbito Público (hospital u otro)","Psicoanálisis","","Lacaniano;Freudiano","","","","2","5","3","4","0","2","7","1","7","6","7","6","7","4","4","5","6","2","1","2","5","4","6","0","4","6","4","5","5","3","4","0","4","0","0","0","4","0","4","7","","","","","","","","","","","","","",""
"2023/04/16 12:36:11 a. m. GMT-3","Sí","40","Femenino","Ciudad Autónoma de Buenos Aires (CABA)","16","Carrera de Especialización","","Pública","Lic. en Psicología","","50","Ámbito Público (hospital u otro);Ámbito Privado","Psicoanálisis","","Lacaniano;Freudiano","","","","3","7","7","3","1","7","6","3","7","3","7","5","6","5","4","3","6","3","0","4","1","7","4","4","7","4","4","4","1","1","1","1","1","1","1","5","5","7","4","4","","","","","","","","","","","","","",""
"2023/04/16 1:04:24 a. m. GMT-3","Sí","40","Femenino","Ciudad Autónoma de Buenos Aires (CABA)","16","Carrera de Especialización","","Privada","Lic. en Psicología","","30","Ámbito Privado;Obra Social o Prepaga","Psicodinámica","","","","","","7","7","7","3","1","7","7","0","7","0","7","7","7","0","6","6","8","8","8","8","8","7","1","4","8","7","7","7","7","0","7","8","8","1","1","7","7","8","7","4","El psicoanálisis es basado en evidencia. Lean los papers del Dr Ricardo Bernardi y el OPD2 (el psa no es Lacan por favor no sean ignorantes)","","","","","","","","","","","","",""
"2023/04/16 2:53:40 a. m. GMT-3","Sí","40","Femenino","Provincia de Buenos Aires","16","Carrera de Especialización","","Pública","Lic. en Psicología","","30","Ámbito Público (hospital u otro);Ámbito Privado","Psicoanálisis","","Freudiano;Posfreudiano","","","","4","6","6","6","3","5","5","5","6","6","6","6","5","2","3","7","7","4","4","4","4","7","7","7","4","7","0","7","7","0","7","1","0","1","0","4","0","7","4","7","","","","","","","","","","","","","",""
"2023/04/16 5:37:41 a. m. GMT-3","Sí","41","Femenino","Ciudad Autónoma de Buenos Aires (CABA)","15.6","Carrera de Especialización","","Pública","Psicologa (UNR)","","10","Ámbito Privado","Psicoanálisis","","Que pavada esto. Freudiana, lacaniana y deleuziana","","","","1","6","6","1","2","6","6","1","7","1","3","7","3","1","1","1","7","4","1","1","1","2","1","4","6","7","1","0","7","4","4","0","0","1","1","0","1","0","7","7","No entendí el norte del cuestionario. ","","","","","","","","","","","","",""
"2023/04/16 8:50:26 p. m. GMT-3","Sí","31","Femenino","Ciudad Autónoma de Buenos Aires (CABA)","3","Máster","","Privada","Lic. en Psicología","","30","Ámbito Privado;Obra Social o Prepaga","Psicoanálisis","","Freudiano","","","","6","7","7","4","4","7","7","1","7","6","5","6","6","1","4","3","4","7","7","7","7","6","1","4","7","4","4","4","5","4","7","1","1","4","1","1","4","1","4","4","","","","","","","","","","","","","",""
"2023/04/16 10:26:44 p. m. GMT-3","Sí","47","Femenino","Provincia de Buenos Aires","1.6","Licenciatura de Grado","","Pública","Lic. en Psicología","","40","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Análisis Conductual Aplicado;Terapia Cognitiva;Terapia de Conducta;Terapia basada en Mindfulness","","","7","5","6","6","7","7","7","4","6","5","6","7","4","6","6","7","7","7","4","7","7","7","7","7","7","4","1","4","4","1","7","1","7","1","4","6","1","4","1","7","","","","","","","","","","","","","",""
"2023/04/16 11:42:44 p. m. GMT-3","Sí","43","Femenino","Ciudad Autónoma de Buenos Aires (CABA)","3","Máster","","Pública","Lic. en Psicología","","18","Ámbito Privado","Psicoanálisis","","Lacaniano;Freudiano;Posfreudiano;Kleiniano","","","","3","7","7","4","6","6","6","4","5","3","4","6","6","4","6","5","5","5","2","5","5","5","5","5","4","4","4","2","3","3","6","2","2","2","3","3","3","0","4","6","","","","","","","","","","","","","",""
"2023/04/17 11:42:23 p. m. GMT-3","Sí","25","Masculino","Provincia de Buenos Aires","1.1","Posgrado","Posgrado universitario en psicopatología","Privada","Lic. en Psicología","","20","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia Cognitiva","","","7","6","7","0","0","6","7","1","2","2","7","7","0","0","7","7","7","7","2","4","4","7","3","7","7","4","2","1","4","1","4","1","5","1","7","3","1","0","3","4","","","","","","","","","","","","","",""
"2023/04/17 11:54:49 p. m. GMT-3","Sí","39","Masculino","Ciudad Autónoma de Buenos Aires (CABA)","6","Carrera de Especialización","","Privada","Lic. en Psicología","","20","Ámbito Privado;Obra Social o Prepaga","Terapias Cognitivas/Comportamentales","","","Terapia Cognitiva;Terapia de Aceptación y Compromiso;Terapia basada en Mindfulness","","","5","7","7","5","1","1","7","5","7","7","4","5","5","4","5","7","6","6","5","7","7","7","7","7","7","4","4","1","1","1","7","1","1","1","1","1","1","0","2","7","No","","","","","","","","","","","","",""
"2023/04/18 10:52:43 a. m. GMT-3","Sí","40","Femenino","Provincia de Buenos Aires","15","Carrera de Especialización","","Pública","Lic. en Psicología","","25","Ámbito Privado","Psicoanálisis","","Lacaniano;Freudiano","","","","1","4","4","4","4","7","7","1","3","1","7","3","3","1","1","2","5","1","1","1","1","1","4","3","2","1","3","2","1","0","7","0","7","0","0","5","5","0","7","7","","","","","","","","","","","","","",""
"2023/04/18 12:49:01 p. m. GMT-3","Sí","32","Masculino","Provincia de Buenos Aires","5","Licenciatura de Grado","","Pública","Lic. en Psicología","","15","Ámbito Privado","Ecléctico (más de una de estas opciones)","","","","","Terapias Cognitivas/Comportamentales;Psicodinámica;Psicoterapia cognitiva posracionalista","6","5","3","2","1","1","5","3","5","4","7","6","5","7","3","7","7","6","5","5","5","7","6","7","6","4","3","5","5","3","5","2","2","1","2","4","1","2","3","4","","","","","","","","","","","","","",""
"2023/04/18 4:09:07 p. m. GMT-3","Sí","41","Femenino","Ciudad Autónoma de Buenos Aires (CABA)","6","Licenciatura de Grado","","Pública","Lic. en Psicología","","12","Ámbito Privado","Psicoanálisis","","Lacaniano;Freudiano","","","","6","7","7","6","0","7","7","2","7","5","7","7","7","3","7","0","6","6","1","0","0","3","6","5","0","7","7","6","0","0","7","0","0","0","4","4","7","0","6","7","","","","","","","","","","","","","",""
"2023/04/18 5:28:54 p. m. GMT-3","Sí","31","Femenino","Provincia de Buenos Aires","7","Licenciatura de Grado","Licenciada en Psicomotricidad ","Privada","Lic. en Psicomotricidad ","","30","Obra Social o Prepaga","Terapias Cognitivas/Comportamentales","","","Terapia de Conducta","","","3","7","7","4","4","4","7","5","7","4","7","4","4","3","3","5","7","3","2","5","7","7","7","7","4","6","4","7","3","0","5","1","0","4","7","2","1","7","1","7","","","","","","","","","","","","","",""
"2023/04/18 6:06:04 p. m. GMT-3","Sí","37","Femenino","Provincia de Buenos Aires","2.6","Carrera de Especialización","Carrera de especializacion en psicologia clinica con orientacion psicoanalitica uba, entre otros.","Pública","Lic. en Psicología","","35 ","Ámbito Público (hospital u otro);Ámbito Privado;Poder judicial de la nacion","Psicoanálisis","","Lacaniano","","","","7","7","7","6","0","6","7","3","5","4","5","7","7","2","3","7","7","4","4","5","5","6","7","6","7","3","1","4","4","4","6","4","4","1","2","7","4","0","7","7","","","","","","","","","","","","","",""
"2023/04/24 5:10:04 p. m. GMT-3","Sí","29","Femenino","Ciudad Autónoma de Buenos Aires (CABA)","0.8","Carrera de Especialización","","Pública","Lic. en Psicología","","15","Ámbito Privado","Sistémica","","","","","","6","4","7","5","2","3","5","5","7","7","5","7","5","0","7","7","7","0","7","7","7","7","5","7","7","5","0","7","3","1","6","1","2","1","1","3","1","0","1","7","","","","","","","","","","","","","",""
"2023/05/01 6:21:27 p. m. GMT-3","Sí","44","Masculino","Ciudad Autónoma de Buenos Aires (CABA);Provincia de Buenos Aires","2","Licenciatura de Grado","","Pública","Lic. en Psicología","","20","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia Cognitiva;Terapia de Conducta;Terapia de Aceptación y Compromiso","","","7","7","7","7","4","0","7","4","6","4","6","6","4","2","4","6","8","5","7","8","7","8","7","8","8","6","6","5","5","6","6","4","6","1","5","2","1","0","2","6","","","","","","","","","","","","","",""
"2023/05/09 10:37:46 a. m. GMT-3","Sí","28","Masculino","Ciudad Autónoma de Buenos Aires (CABA)","0.4","Licenciatura de Grado","Licenciado en Psicología","Pública","Lic. en Psicología","","4","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia Cognitiva","","","5","5","4","4","3","6","4","1","3","1","4","4","3","2","3","4","7","2","4","6","6","6","5","7","7","7","3","6","5","0","4","2","2","2","5","5","4","8","6","2","","","","","","","","","","","","","",""
"2023/05/21 5:12:10 p. m. GMT-3","Sí","27","Femenino","Ciudad Autónoma de Buenos Aires (CABA)","4.7","Carrera de Especialización","","Privada","Lic. en Psicología","","65 ","Ámbito Privado;Obra Social o Prepaga","Sistémica","","","","","","7","5","7","4","4","7","7","7","7","5","5","5","4","5","6","6","7","7","7","6","5","7","4","7","7","5","4","4","5","0","5","8","7","5","5","4","1","6","3","7","","","","","","","","","","","","","",""
"2023/05/21 5:31:38 p. m. GMT-3","Sí","26","Femenino","San Luis","0.3","Licenciatura de Grado","","Pública","Lic. en Psicología","","12","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Análisis Conductual Aplicado;Terapia Cognitiva;Terapia de Conducta","","","6","5","4","2","1","3","6","2","4","2","7","5","3","5","6","6","7","3","6","7","7","7","4","7","6","5","2","4","0","2","6","1","7","2","5","2","2","5","3","6","Es extremadamente costoso capacitarse en tratamientos basados en evidencia que cuestan en dólares o euros (aba, smile, prt, entre otros) ","","","","","","","","","","","","",""
"2023/05/21 5:48:10 p. m. GMT-3","Sí","29","Femenino","Mendoza","2.1","Carrera de Especialización","Especialista en Psicoterapia Sistémica ","Privada","Lic. en Psicología","","20","Ámbito Privado","Ecléctico (más de una de estas opciones)","","","","","Terapias Cognitivas/Comportamentales;Sistémica","7","7","7","5","2","2","5","6","7","4","7","7","3","4","7","7","7","7","7","7","7","7","4","7","7","6","1","0","5","1","1","1","5","1","4","1","1","0","1","7","","","","","","","","","","","","","",""
"2023/05/21 6:20:12 p. m. GMT-3","Sí","26","Femenino","Provincia de Buenos Aires","2","Licenciatura de Grado","","Privada","Lic. en Psicología","","10","Ámbito Público (hospital u otro);Ámbito Privado","Ecléctico (más de una de estas opciones)","","","","","Terapias Cognitivas/Comportamentales","6","5","5","3","2","4","6","0","6","4","6","7","7","6","7","7","7","6","2","6","0","7","7","7","6","7","0","3","5","1","7","4","2","2","2","5","2","7","4","7","","","","","","","","","","","","","",""
"2023/05/21 6:33:16 p. m. GMT-3","Sí","24","Femenino","Provincia de Buenos Aires","0.4","Licenciatura de Grado","","Privada","Lic. en Psicología","","20","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia Cognitiva;Terapia de Conducta","","","7","1","1","1","1","1","7","7","7","3","6","7","3","0","7","6","8","7","7","7","4","7","3","7","7","4","0","2","4","1","6","1","6","1","7","7","2","0","1","5","","","","","","","","","","","","","",""
"2023/05/21 8:44:59 p. m. GMT-3","Sí","40","Femenino","Provincia de Buenos Aires","15","Licenciatura de Grado","Lic psicología ","Pública","Lic. en Psicología","","75","Ámbito Privado","Psicoanálisis","","Freudiano","","","","5","5","7","5","1","7","7","4","5","5","7","4","6","3","4","6","8","4","5","7","7","6","4","6","3","5","4","7","5","2","4","1","6","4","7","4","1","7","4","7","","","","","","","","","","","","","",""
"2023/05/21 9:29:04 p. m. GMT-3","Sí","28","Femenino","Provincia de Buenos Aires","0.9","Licenciatura de Grado","","Pública","Lic. en Psicología","","13","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia Cognitiva;Terapia de Conducta","","","7","1","5","1","1","1","6","4","5","5","6","7","4","7","7","0","7","4","0","7","7","7","6","7","6","7","4","1","5","0","7","1","5","5","7","3","1","7","3","6","","","","","","","","","","","","","",""
"2023/05/21 9:51:57 p. m. GMT-3","Sí","30","Masculino","Ciudad Autónoma de Buenos Aires (CABA)","0.9","Licenciatura de Grado","","Privada","Lic. en Psicología","","8","Ámbito Privado","Psicoanálisis","","Posfreudiano","","","","3","4","4","0","0","7","7","1","7","1","6","4","1","1","6","7","4","1","1","4","7","1","7","7","1","0","0","4","0","0","6","7","7","1","7","1","7","7","6","4","No","","","","","","","","","","","","",""
"2023/05/21 9:54:33 p. m. GMT-3","Sí","38","Femenino","Provincia de Buenos Aires","8","Licenciatura de Grado","Psicopedagoga ","Privada","Psicopedagoga ","","6","Ámbito Privado;Obra Social o Prepaga","Ecléctico (más de una de estas opciones)","","","","","Humanista;Terapias Cognitivas/Comportamentales","5","7","7","7","5","0","7","5","7","5","7","6","6","7","7","5","7","4","4","0","4","5","4","4","0","4","0","7","5","0","7","4","7","7","7","0","0","0","5","1","","","","","","","","","","","","","",""
